route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
LOOP,2,4,Counter Clockwise,0,201,LOOP_OUTER,,1
LOOP,2,5,Counter Clockwise,0,201,LOOP_OUTER,,1
LOOP,2,6,Counter Clockwise,0,201,LOOP_OUTER_TO_MG,,1
LOOP,2,8,Counter Clockwise,0,201,LOOP_OUTER,,1
LOOP,2,9,Counter Clockwise,0,201,LOOP_OUTER,,1
LOOP,2,10,Counter Clockwise,0,201,LOOP_OUTER_TO_MG,,1
LOOP,2,15,Counter Clockwise,0,201,LOOP_OUTER,,1
LOOP,2,16,Counter Clockwise,0,201,LOOP_OUTER,,1
LOOP,2,17,Counter Clockwise,0,201,LOOP_OUTER_TO_MG,,1
LOOP,2,20,Counter Clockwise,0,201,LOOP_OUTER,,1
LOOP,2,21,Counter Clockwise,0,201,LOOP_OUTER,,1
LOOP,2,22,Counter Clockwise,0,201,LOOP_OUTER_TO_MG,,1
LOOP,2,24,Counter Clockwise,0,201,LOOP_OUTER,,1
LOOP,2,25,Counter Clockwise,0,201,LOOP_OUTER_TO_MG,,1
LOOP,2,32,Counter Clockwise,0,202,LOOP_OUTER,,1
LOOP,2,33,Counter Clockwise,0,202,LOOP_OUTER_TO_MG,,1
LOOP,2,35,Counter Clockwise,0,202,LOOP_OUTER,,1
LOOP,2,36,Counter Clockwise,0,202,LOOP_OUTER_TO_MG,,1
LOOP,2,38,Counter Clockwise,0,202,LOOP_OUTER,,1
LOOP,2,39,Counter Clockwise,0,202,LOOP_OUTER,,1
LOOP,2,40,Counter Clockwise,0,202,LOOP_OUTER,,1
LOOP,2,41,Counter Clockwise,0,202,LOOP_OUTER_TO_MG,,1
LOOP,2,46,Counter Clockwise,0,202,LOOP_OUTER,,1
LOOP,2,47,Counter Clockwise,0,202,LOOP_OUTER,,1
LOOP,2,48,Counter Clockwise,0,202,LOOP_OUTER_TO_MG,,1
LOOP,2,50,Counter Clockwise,0,202,LOOP_OUTER,,1
LOOP,2,51,Counter Clockwise,0,202,LOOP_OUTER,,1
LOOP,2,52,Counter Clockwise,0,202,LOOP_OUTER_TO_MG,,1
LOOP,2,54,Counter Clockwise,0,202,LOOP_OUTER_TO_MG,,1
LOOP,2,61,Counter Clockwise,0,203,LOOP_OUTER,,1
LOOP,2,62,Counter Clockwise,0,203,LOOP_OUTER,,1
LOOP,2,63,Counter Clockwise,0,203,LOOP_OUTER,,1
LOOP,2,64,Counter Clockwise,0,203,LOOP_OUTER_TO_MG,,1
LOOP,2,66,Counter Clockwise,0,203,LOOP_OUTER,,1
LOOP,2,67,Counter Clockwise,0,203,LOOP_OUTER,,1
LOOP,2,68,Counter Clockwise,0,203,LOOP_OUTER_TO_MG,,1
LOOP,2,73,Counter Clockwise,0,203,LOOP_OUTER,,1
